dic_gloss,synonyms,sid,FSW
Biblia,"Santas Escrituras, Sagradas Escrituras, Palabra de Dios, El Libro, La Palabra, Las Escrituras",39,M521x530S20500489x479S20500492x519S2880c496x492S14721500x471S15a18479x488
bicicleta,bici,1041,AS20350S2ea00S2fb04S20358S2ea4cM522x527S20350505x474S20358478x474S2ea00507x495S2ea4c478x496S2fb04492x521
bigote,"bozo, mostacho",129,AS10002S33100S21100S26506M558x523S33100482x482S10002493x508S21100526x508S26506543x509
bit,digito binario,464,AS1eb30S21d00M515x516S1eb30491x497S21d00486x484
blanco,"níveo, albo, blancura, albor, blancor, albura",130,AS1dc11S30a00S34400S24e37M532x545S30a00482x482S34400482x482S1dc11484x515S24e37509x513
boca,,131,AS10001S33b00S21100S2e300M551x542S10001506x502S33b00482x482S2e300528x498S21100533x528
Bogotá,,1148,M539x536S36d00479x465S37601479x468S37609506x467S20602514x511S20602476x512S26a02525x509S26a16460x509
Bolivar (Santander),bolivar (santander),1108,M540x521S36d00479x479S15d03503x485S21100527x497S22a03516x507
Bolivia,,1155,M521x528S1a310480x472S2e100498x499
borrar,eliminar,954,M524x518S15d0a489x482S20320509x494S26502476x504S20e00494x504
Brasil,,1173,M508x529S14710492x471S29904494x497
Brasilia (Brasil),,1175,M571x528S1e411503x489S1e419479x489S26f06527x488S26f12462x488S1f418430x502S1f410542x502S20500497x473
brazo,"extremidad, miembro, articulación",132,AS15d01S37602S21410S21100S24109M526x539S21410474x493S15d01503x480S21100476x474S24109479x507S37602496x462
Bucaramanga (Santader),bucaramanga (santander),1096,M536x533S33b00482x483S21900522x481S10a20508x505S20500504x522S26500521x494
bug (informático),"bicho (informático), error (informático)",893,AS1a011S21900S2031aS37806S21100S26502M525x528S26502476x495S21900499x472S15d39502x505S21100480x511S1a011497x483
C,,50,AS16d10M509x510S16d10492x490
cabello,pelo,133,AS1d411S2ff00S20800S22a07M542x517S2ff00482x482S1d411508x458S20800519x485S22a07529x458
cabeza,testa,134,AS16e10S30007S20600M535x517S30007482x482S16e10512x476S20600498x461
cabra,"chivo, irasco, chivato, chiva",1119,M519x573S30004482x483S17d40493x521S21000468x521S22f04493x539S18540493x558
