dic_gloss,synonyms,sid,FSW
mãos levantados,,483,M562x518S14c00456x485S26500548x498S33b00482x483S14c08524x486S26500436x498
Mas,"MAS, mas",377,M547x571S30a00482x490S30150496x475S14c20524x516S14c28454x517S26500529x554S26510458x556
medico,,136,M529x553S15a1a502x471S37806470x471S1c151491x447S36d00479x520S18501467x531S26506495x539S20500515x540
mentira,,172,M566x530S33100482x483S10010490x500S21100512x514S23600527x512
MEU,MINHA,445,M524x580S33500476x483S36500482x483S20311488x543S20500493x569
meu,"MEU, MINHA, minha",436,M514x513S15a02487x488S20500496x502
meu,minha,66,M511x519S20311490x482S20500495x508
meu nome gestual,,485,M553x518S33b00482x483S10512523x468S28802504x456S10512466x464
Minuto,minuto,266,M516x517S1f420484x502S26a00489x483
monte,,411,M518x593S14c39487x566S14c51463x543S2890a489x534S32a00482x483
movimento,movimentos,410,M518x575S2f000491x555S30a30488x494S20321496x528S30300482x477S2fb04473x548
muito,"MUITO, Muito",376,M543x583S14c01510x532S14c09460x532S32a00482x483S23504506x565S23514452x565
N,n,52,M508x515S10e04493x485
n,,295,M510x514S11903490x486
não,"NÃO, Não",391,M545x544S1e611455x468S1e619506x466S20500477x459S20500501x457S3780c479x480S37805479x483S13f20516x528S13f28458x529
não,,418,M512x533S10020489x467S26d06493x506
Não é fácil,"não é fácil , não fácil",258,M565x524S30122482x476S1c510512x486S26a04538x486S20e00515x474
não-é,,426,M532x567S10003502x538S2c600476x541S30126482x476
NARINA,"Narina, narina",492,M518x558S33100482x483S10000490x506S2ef05487x540
natacao,,156,M528x541S15a51504x460S15a59473x482S2eb00513x487S2eb48478x509
ninguém,"NÍNGUEM, Ninguém",393,M535x527S17620515x510S17620468x511S2df06515x474S2df1e465x474
noite,,16,M540x526S2ff00482x482S15d00521x486S28903488x499
NOME,,352,M554x585S2ff00482x483S10000486x511S26500491x548S1f420478x570S26a00527x571S2f700512x578
NOME,,444,M557x574S30004482x483S10000493x520S1f410480x559S2f700545x567S26a00514x559
nome,,71,M527x597S1ef10498x522S30004482x483S26b00495x579S26500502x540S1f420495x559
nome gesto,,22,M544x568S34400457x482S36100508x483S11e01461x507S10031510x538S20500519x531S22a05491x529
Novembro,"NOVEMBRO, novembro",366,M521x514S12b51491x489S22124479x487
