dic_gloss,synonyms,sid,FSW
antisymetrie (IMoTeSP),,972,M563x560S15d40498x451S2d610454x440S20500493x439S15d37538x453S15d3f439x453S10051497x531S10059466x532S20500493x514S10057542x529S1005f436x530S2d608524x519S2d610443x517S2d608514x442S15d48478x451
aplikace (IMoTeSP),,358,M537x516S20500483x496S15d48462x485S1ea00514x495
aplikace (IMoTeSP),,771,M527x522S15d08487x482S18010497x490S20500474x478S20500475x490S20500475x503S22a04510x507
apríl A (UPOL),vtip,2413,M535x524S10056466x500S1f130488x498S21000481x476S26f06521x484
apríl B (UPOL),,2414,M590x522S37506482x479S1ea10523x499S27000550x494
aproximace (IMoTeSP),,973,M534x545S17614466x492S15a11511x522S28a08492x480S15a17510x455
architekt C (UPOL),,3580,M528x538S37906474x529S20356513x523S1ce20472x462S23d0a479x499S23d0a491x488
architektura (IMoTeSP),,748,M534x541S37906466x534S15a1a507x529S1ce20478x459S23d0a481x499
Argentina,,2019,M556x550S14e01501x497S36d00479x522S36d00479x470S14e09435x461S22237453x451S22237450x454S2e201529x520
Argentina,,514,M549x525S36d00479x495S11800526x475S26b04522x507
Argentina (UPOL),,2815,M532x539S36d00479x462S14f19429x464S14e01500x489S23504495x521
argument (IMoTeSP),parametr (IMoTeSP),725,M534x584S15d48476x527S1ed40499x529S20e00498x551S22a04497x569S2a20a513x449S2a212465x449S10050517x417S10058467x416S2fb04494x486
arita (IMoTeSP),,217,M559x580S2a20a493x451S2a212441x451S2fb04466x574S2fb04469x485S1ed26442x523S21f2c537x523S1f540527x524S22a04442x553S22a04465x554S22a04488x555S26606459x542S10050500x419S10058442x419
Arménie (UPOL),,2816,M542x518S20600520x490S15451499x469S2ff00482x483
