dic_gloss,synonyms,sid,FSW
aufstehen,,5031,M585x609S34c00415x483S34600445x483S36500475x483S34500521x482S35d00549x481S15d31538x556S28a02502x531S10e04481x555S15d39473x586S20500500x582
auftauchen,,2580,M605x596S34c00395x483S34600422x483S36500451x483S15d1a454x540S10000472x566S22b00491x535S35d00481x482S34c00510x482S34600539x482S35800569x482
aufwendig,,14091,M607x614S34c00392x482S34600421x482S37802496x540S35d00509x482S36500451x482S14c48429x543S14c32469x590S20301482x524S20e00440x583S28a08473x547S14c18449x557S2f700490x581S34a00480x482S34800540x483S35d04571x482
Aufwind,,14092,M579x575S34c00423x482S34600452x482S34800510x483S36500481x482S35d00540x483S14c21552x538S14c31493x523S28d0e518x551S2f900521x544
Aufzug,,7981,M578x549S36500510x482S34c00453x482S18210545x534S23600539x511S34600482x482
Augenbindehaut,,9070,M634x546S34c00385x482S34600414x482S35d04442x482S31440462x492S10001467x499S20600478x485S35000502x483S10001527x493S31440520x495S29006515x523S15d10615x492S34c00551x482S34600578x483S31440597x494S15d00595x498S2df08603x466
Augenbraue,,3848,M550x517S31100482x482S10012509x491S21100512x470S2880a528x469
Augenbrauen,,6943,M540x517S31100482x482S10012510x491S21100497x465S2880a514x464
aus,,2794,M614x529S36100511x482S34c00452x482S34600481x482S15d17591x506S18210554x513S28802571x494
aus,,16949,M567x579S34c00454x483S34600482x483S36100511x483S14c11541x522S22a03541x545S20311521x558
Ausbilder,,15667,M624x594S15a37438x544S15a31452x551S21100469x540S35000462x482S34800490x482S35c00519x482S34c00376x482S34600404x482S36100433x482S1ed26593x530S34700561x482S35d04588x482S22b04592x564
Ausdehnung,ausdehnen,3947,M592x596S34c00408x484S34600437x483S36100466x482S35d00496x482S34700526x481S35d00556x481S14c40496x539S14c48466x538S26606530x552S26612427x554S2f804472x585
Ausgabe,,18269,M603x575S14c39474x533S14c50485x544S21100506x538S35000538x483S34c00397x483S34c00509x483S35d04482x483S34700567x483S36100453x483S26500498x523S34600425x483
ausgezeichnet,,8084,M559x574S34c00452x482S34600481x482S36100511x483S1ce20537x542S26602500x554S2f700511x567S2d708502x528
Ausscheidung,Ausscheidungen,23539,M623x603S34c00394x483S34600423x483S34500483x483S34c00512x482S34800540x483S35d00570x482S36100453x483S15d1e579x537S36d00536x522S36d00541x553S15d1c604x576S22a04604x553S2f900604x568
ausschtten,,3019,
ausschütten,,7107,M603x643S20330403x628S20350403x554S22c10403x578S20350459x570S20340459x606S22a04460x589S20350518x546S20340556x576S26a05568x590S26a15530x558S34c00398x482S34600425x482S34500508x483S34600538x483S36100453x482S35d00567x483
Ausweis,,5822,M605x591S34c00395x483S34600422x483S34800539x483S34c00509x482S36100450x483S36500479x483S36100569x483S15d0a499x525S1ed26504x547S22a04505x576
Autobahnraststätte,,11710,M634x592S34c00367x481S34600394x480S34400453x481S35000481x481S34c00543x483S35d00423x481S2721c385x539S11504444x554S1150c414x562S27200438x527S35d04518x483S36100569x483S35d00598x484S15350594x533S22a04596x567S2f900598x586
Autofahrer,,23526,M623x594S34c00406x483S34600436x483S35d00462x482S34400490x483S20301436x565S20303485x563S36500529x483S34c00559x483S26600487x528S26610438x528S1ed26582x525S22b04584x563S26506596x551S22b04607x564
Autogramm,,11358,M603x589S34c00396x482S34600424x482S35d00452x482S35d04510x482S34c00538x482S33b00567x482S34400481x482S15d0a466x532S18520491x536S18547499x562S2880c524x543S2f900519x567
